From	To	Species	Gene Name
Q9ULP9	ENSG00000162065	Homo sapiens	TBC1 domain family member 24(TBC1D24)
O00203	ENSG00000132842	Homo sapiens	adaptor related protein complex 3 subunit beta 1(AP3B1)
Q96S44	ENSG00000172315	Homo sapiens	TP53 regulating kinase(TP53RK)
Q96RS6	ENSG00000120526	Homo sapiens	NudC domain containing 1(NUDCD1)
Q00536	ENSG00000102225	Homo sapiens	cyclin dependent kinase 16(CDK16)
Q96RS0	ENSG00000137574	Homo sapiens	trimethylguanosine synthase 1(TGS1)
Q00535	ENSG00000164885	Homo sapiens	cyclin dependent kinase 5(CDK5)
Q00534	ENSG00000105810	Homo sapiens	cyclin dependent kinase 6(CDK6)
O00217	ENSG00000110717	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S8(NDUFS8)
Q3MHD2	ENSG00000161654	Homo sapiens	LSM12 homolog(LSM12)
Q96B23	ENSG00000152242	Homo sapiens	arkadia (RNF111) N-terminal like PKA signaling regulator 2N(ARK2N)
Q9UM22	ENSG00000086289	Homo sapiens	ependymin related 1(EPDR1)
Q86XZ4	ENSG00000123352	Homo sapiens	spermatogenesis associated serine rich 2(SPATS2)
Q9BV68	ENSG00000070423	Homo sapiens	ring finger protein 126(RNF126)
Q96AQ6	ENSG00000163346	Homo sapiens	PBX homeobox interacting protein 1(PBXIP1)
Q96B26	ENSG00000120699	Homo sapiens	exosome component 8(EXOSC8)
O00214	ENSG00000116977	Homo sapiens	galectin 8(LGALS8)
Q96AQ8	ENSG00000050393	Homo sapiens	mitochondrial calcium uniporter regulator 1(MCUR1)
Q8WXX5	ENSG00000213551	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C9(DNAJC9)
Q01850	ENSG00000140743	Homo sapiens	cerebellar degeneration related protein 2(CDR2)
Q9BUT9	ENSG00000172366	Homo sapiens	MAPK regulated corepressor interacting protein 2(MCRIP2)
Q9ULR0	ENSG00000240682	Homo sapiens	ISY1 splicing factor homolog(ISY1)
Q9ULR0	ENSG00000261796	Homo sapiens	ISY1-RAB43 readthrough(ISY1-RAB43)
O43390	ENSG00000125944	Homo sapiens	heterogeneous nuclear ribonucleoprotein R(HNRNPR)
O43390	ENSG00000282958	Homo sapiens	heterogeneous nuclear ribonucleoprotein R(HNRNPR)
Q9H5K3	ENSG00000185900	Homo sapiens	protein O-mannose kinase(POMK)
O43353	ENSG00000104312	Homo sapiens	receptor interacting serine/threonine kinase 2(RIPK2)
Q86YB8	ENSG00000086619	Homo sapiens	endoplasmic reticulum oxidoreductase 1 beta(ERO1B)
Q96B97	ENSG00000147010	Homo sapiens	SH3 domain containing kinase binding protein 1(SH3KBP1)
Q8WYA6	ENSG00000132792	Homo sapiens	catenin beta like 1(CTNNBL1)
Q9ULJ3	ENSG00000173276	Homo sapiens	zinc finger and BTB domain containing 21(ZBTB21)
Q9NXW2	ENSG00000148719	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B12(DNAJB12)
Q9ULJ8	ENSG00000158528	Homo sapiens	protein phosphatase 1 regulatory subunit 9A(PPP1R9A)
Q8WYA0	ENSG00000122970	Homo sapiens	intraflagellar transport 81(IFT81)
Q01844	ENSG00000182944	Homo sapiens	EWS RNA binding protein 1(EWSR1)
Q9NXW9	ENSG00000160993	Homo sapiens	alkB homolog 4, lysine demethylase(ALKBH4)
Q96AX1	ENSG00000139719	Homo sapiens	VPS33A core subunit of CORVET and HOPS complexes(VPS33A)
A6NCN2	ENSG00000135477	Homo sapiens	keratin 87, pseudogene(KRT87P)
Q7Z5L9	ENSG00000168264	Homo sapiens	interferon regulatory factor 2 binding protein 2(IRF2BP2)
Q9ULK5	ENSG00000162738	Homo sapiens	VANGL planar cell polarity protein 2(VANGL2)
Q9ULK4	ENSG00000112282	Homo sapiens	mediator complex subunit 23(MED23)
Q9NY93	ENSG00000136271	Homo sapiens	DEAD-box helicase 56(DDX56)
P15586	ENSG00000135677	Homo sapiens	glucosamine (N-acetyl)-6-sulfatase(GNS)
Q9NXX6	ENSG00000107672	Homo sapiens	NSE4 homolog A, SMC5-SMC6 complex component(NSMCE4A)
Q01831	ENSG00000154767	Homo sapiens	XPC complex subunit, DNA damage recognition and repair factor(XPC)
Q96S94	ENSG00000221978	Homo sapiens	cyclin L2(CCNL2)
Q96S97	ENSG00000179820	Homo sapiens	myeloid associated differentiation marker(MYADM)
Q7Z5K2	ENSG00000062650	Homo sapiens	WAPL cohesin release factor(WAPL)
P04899	ENSG00000114353	Homo sapiens	G protein subunit alpha i2(GNAI2)
Q9Y6U3	ENSG00000006747	Homo sapiens	scinderin(SCIN)
Q96S90	ENSG00000163155	Homo sapiens	LysM domain containing 1(LYSMD1)
O14802	ENSG00000148606	Homo sapiens	RNA polymerase III subunit A(POLR3A)
P68036	ENSG00000185651	Homo sapiens	ubiquitin conjugating enzyme E2 L3(UBE2L3)
Q2TBE0	ENSG00000152404	Homo sapiens	CWF19 like cell cycle control factor 2(CWF19L2)
Q9H5H4	ENSG00000169957	Homo sapiens	zinc finger protein 768(ZNF768)
Q01826	ENSG00000182568	Homo sapiens	SATB homeobox 1(SATB1)
Q7Z5J4	ENSG00000108557	Homo sapiens	retinoic acid induced 1(RAI1)
Q9Y6V7	ENSG00000105671	Homo sapiens	DEAD-box helicase 49(DDX49)
P15559	ENSG00000181019	Homo sapiens	NAD(P)H quinone dehydrogenase 1(NQO1)
Q96S82	ENSG00000138629	Homo sapiens	ubiquitin like 7(UBL7)
Q96S82	ENSG00000288408	Homo sapiens	ubiquitin like 7(UBL7)
O43347	ENSG00000135097	Homo sapiens	musashi RNA binding protein 1(MSI1)
Q9ULM6	ENSG00000113300	Homo sapiens	CCR4-NOT transcription complex subunit 6(CNOT6)
O14818	ENSG00000101182	Homo sapiens	proteasome 20S subunit alpha 7(PSMA7)
Q6W2J9	ENSG00000183337	Homo sapiens	BCL6 corepressor(BCOR)
Q01813	ENSG00000067057	Homo sapiens	phosphofructokinase, platelet(PFKP)
Q9BW30	ENSG00000159713	Homo sapiens	tubulin polymerization promoting protein family member 3(TPPP3)
O43432	ENSG00000075151	Homo sapiens	eukaryotic translation initiation factor 4 gamma 3(EIF4G3)
Q96BN8	ENSG00000154124	Homo sapiens	OTU deubiquitinase with linear linkage specificity(OTULIN)
Q9NYU1	ENSG00000102595	Homo sapiens	UDP-glucose glycoprotein glucosyltransferase 2(UGGT2)
Q9NYU2	ENSG00000136731	Homo sapiens	UDP-glucose glycoprotein glucosyltransferase 1(UGGT1)
Q9NZ63	ENSG00000136819	Homo sapiens	chromosome 9 open reading frame 78(C9orf78)
Q96BM9	ENSG00000143862	Homo sapiens	ADP ribosylation factor like GTPase 8A(ARL8A)
Q5U3C3	ENSG00000157600	Homo sapiens	transmembrane protein 164(TMEM164)
O94903	ENSG00000147471	Homo sapiens	pyridoxal phosphate binding protein(PLPBP)
P22695	ENSG00000140740	Homo sapiens	ubiquinol-cytochrome c reductase core protein 2(UQCRC2)
Q9BVQ7	ENSG00000171763	Homo sapiens	AFG2 AAA ATPase homolog B(AFG2B)
Q9BW27	ENSG00000125450	Homo sapiens	nucleoporin 85(NUP85)
P22694	ENSG00000288516	Homo sapiens	protein kinase cAMP-activated catalytic subunit beta(PRKACB)
P22694	ENSG00000142875	Homo sapiens	protein kinase cAMP-activated catalytic subunit beta(PRKACB)
O94901	ENSG00000164828	Homo sapiens	Sad1 and UNC84 domain containing 1(SUN1)
O94905	ENSG00000147475	Homo sapiens	ER lipid raft associated 2(ERLIN2)
O94906	ENSG00000101161	Homo sapiens	pre-mRNA processing factor 6(PRPF6)
P32019	ENSG00000204084	Homo sapiens	inositol polyphosphate-5-phosphatase B(INPP5B)
O43447	ENSG00000171960	Homo sapiens	peptidylprolyl isomerase H(PPIH)
Q86YV9	ENSG00000166189	Homo sapiens	HPS6 biogenesis of lysosomal organelles complex 2 subunit 3(HPS6)
P59998	ENSG00000241553	Homo sapiens	actin related protein 2/3 complex subunit 4(ARPC4)
Q9NYV4	ENSG00000167258	Homo sapiens	cyclin dependent kinase 12(CDK12)
P60983	ENSG00000197045	Homo sapiens	glia maturation factor beta(GMFB)
Q7Z6B0	ENSG00000123106	Homo sapiens	coiled-coil domain containing 91(CCDC91)
O94915	ENSG00000075539	Homo sapiens	FRY like transcription coactivator(FRYL)
P47985	ENSG00000169021	Homo sapiens	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1(UQCRFS1)
Q96SN8	ENSG00000136861	Homo sapiens	CDK5 regulatory subunit associated protein 2(CDK5RAP2)
P20042	ENSG00000125977	Homo sapiens	eukaryotic translation initiation factor 2 subunit beta(EIF2S2)
O94913	ENSG00000165494	Homo sapiens	PCF11 cleavage and polyadenylation factor subunit(PCF11)
P60981	ENSG00000125868	Homo sapiens	destrin, actin depolymerizing factor(DSTN)
O94919	ENSG00000149218	Homo sapiens	endonuclease domain containing 1(ENDOD1)
Q9BW19	ENSG00000237649	Homo sapiens	kinesin family member C1(KIFC1)
Q9BW19	ENSG00000204197	Homo sapiens	kinesin family member C1(KIFC1)
Q9BW19	ENSG00000233450	Homo sapiens	kinesin family member C1(KIFC1)
O94916	ENSG00000102908	Homo sapiens	nuclear factor of activated T cells 5(NFAT5)
P22681	ENSG00000110395	Homo sapiens	Cbl proto-oncogene(CBL)
Q9BVP2	ENSG00000163938	Homo sapiens	G protein nucleolar 3(GNL3)
O43414	ENSG00000117419	Homo sapiens	ERI1 exoribonuclease family member 3(ERI3)
P35998	ENSG00000161057	Homo sapiens	proteasome 26S subunit, ATPase 2(PSMC2)
O94925	ENSG00000115419	Homo sapiens	glutaminase(GLS)
P47974	ENSG00000152518	Homo sapiens	ZFP36 ring finger protein like 2(ZFP36L2)
O94923	ENSG00000138604	Homo sapiens	glucuronic acid epimerase(GLCE)
O94927	ENSG00000249115	Homo sapiens	HAUS augmin like complex subunit 5(HAUS5)
Q4KMQ2	ENSG00000177119	Homo sapiens	anoctamin 6(ANO6)
O43427	ENSG00000172500	Homo sapiens	FGF1 intracellular binding protein(FIBP)
O43426	ENSG00000159082	Homo sapiens	synaptojanin 1(SYNJ1)
Q96BK5	ENSG00000254093	Homo sapiens	PIN2 (TERF1) interacting telomerase inhibitor 1(PINX1)
Q86YT6	ENSG00000101752	Homo sapiens	MIB E3 ubiquitin protein ligase 1(MIB1)
Q53RE8	ENSG00000213337	Homo sapiens	ankyrin repeat domain 39(ANKRD39)
P0C2W1	ENSG00000174013	Homo sapiens	F-box protein 45(FBXO45)
P21359	ENSG00000196712	Homo sapiens	neurofibromin 1(NF1)
Q4KMP7	ENSG00000169221	Homo sapiens	TBC1 domain family member 10B(TBC1D10B)
P20020	ENSG00000070961	Homo sapiens	ATPase plasma membrane Ca2+ transporting 1(ATP2B1)
P08397	ENSG00000256269	Homo sapiens	hydroxymethylbilane synthase(HMBS)
Q9BVN2	ENSG00000160753	Homo sapiens	RUN and SH3 domain containing 1(RUSC1)
Q96SL1	ENSG00000138463	Homo sapiens	solute carrier family 49 member 4(SLC49A4)
Q96BR5	ENSG00000162377	Homo sapiens	cytochrome c oxidase assembly factor 7(COA7)
Q6ZN17	ENSG00000187772	Homo sapiens	lin-28 homolog B(LIN28B)
Q9BVV7	ENSG00000075336	Homo sapiens	translocase of inner mitochondrial membrane 21(TIMM21)
Q9BW71	ENSG00000149929	Homo sapiens	HIRA interacting protein 3(HIRIP3)
Q96C36	ENSG00000143811	Homo sapiens	pyrroline-5-carboxylate reductase 2(PYCR2)
Q4G0F5	ENSG00000151502	Homo sapiens	VPS26 retromer complex component B(VPS26B)
Q9H6D7	ENSG00000092036	Homo sapiens	HAUS augmin like complex subunit 4(HAUS4)
Q6ZN08	ENSG00000160229	Homo sapiens	zinc finger protein 66(ZNF66)
Q6ZN08	ENSG00000275050	Homo sapiens	zinc finger protein 66(ZNF66)
Q9BW62	ENSG00000102781	Homo sapiens	katanin catalytic subunit A1 like 1(KATNAL1)
P04843	ENSG00000163902	Homo sapiens	ribophorin I(RPN1)
Q9BW61	ENSG00000130311	Homo sapiens	DET1 and DDB1 associated 1(DDA1)
Q96C23	ENSG00000143891	Homo sapiens	galactose mutarotase(GALM)
P04844	ENSG00000118705	Homo sapiens	ribophorin II(RPN2)
Q86YZ3	ENSG00000197915	Homo sapiens	hornerin(HRNR)
Q9BW66	ENSG00000100865	Homo sapiens	cyclin dependent kinase 2 interacting protein(CINP)
O94952	ENSG00000135108	Homo sapiens	F-box protein 21(FBXO21)
O43402	ENSG00000131148	Homo sapiens	ER membrane protein complex subunit 8(EMC8)
Q9BW60	ENSG00000066322	Homo sapiens	ELOVL fatty acid elongase 1(ELOVL1)
Q96BQ5	ENSG00000164366	Homo sapiens	coiled-coil domain containing 127(CCDC127)
Q00587	ENSG00000128283	Homo sapiens	CDC42 effector protein 1(CDC42EP1)
Q9NZ32	ENSG00000131966	Homo sapiens	actin related protein 10(ACTR10)
Q9NYR9	ENSG00000168256	Homo sapiens	NFKB inhibitor interacting Ras like 2(NKIRAS2)
Q9BVT8	ENSG00000164897	Homo sapiens	transmembrane and ubiquitin like domain containing 1(TMUB1)
Q6ZN18	ENSG00000139154	Homo sapiens	AE binding protein 2(AEBP2)
Q96T37	ENSG00000162775	Homo sapiens	RNA binding motif protein 15(RBM15)
Q96BP3	ENSG00000113593	Homo sapiens	peptidylprolyl isomerase domain and WD repeat containing 1(PPWD1)
Q96BP2	ENSG00000172586	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 1(CHCHD1)
Q6DN03	ENSG00000261716	Homo sapiens	H2B clustered histone 20, pseudogene(H2BC20P)
O94966	ENSG00000172046	Homo sapiens	ubiquitin specific peptidase 19(USP19)
O94964	ENSG00000149639	Homo sapiens	microtubule crosslinking factor 2(MTCL2)
Q96C19	ENSG00000142634	Homo sapiens	EF-hand domain family member D2(EFHD2)
P04818	ENSG00000176890	Homo sapiens	thymidylate synthetase(TYMS)
Q96T23	ENSG00000048649	Homo sapiens	remodeling and spacing factor 1(RSF1)
Q8WZ82	ENSG00000262664	Homo sapiens	OVCA2 serine hydrolase domain containing(OVCA2)
Q9NZ43	ENSG00000053501	Homo sapiens	unconventional SNARE in the ER 1(USE1)
Q9NZ45	ENSG00000122873	Homo sapiens	CDGSH iron sulfur domain 1(CISD1)
Q00577	ENSG00000185129	Homo sapiens	purine rich element binding protein A(PURA)
P07099	ENSG00000143819	Homo sapiens	epoxide hydrolase 1(EPHX1)
O94967	ENSG00000085433	Homo sapiens	WD repeat domain 47(WDR47)
Q5T0B9	ENSG00000160094	Homo sapiens	zinc finger protein 362(ZNF362)
P60953	ENSG00000070831	Homo sapiens	cell division cycle 42(CDC42)
Q7Z6E9	ENSG00000122257	Homo sapiens	RB binding protein 6, ubiquitin ligase(RBBP6)
O94973	ENSG00000280759	Homo sapiens	adaptor related protein complex 2 subunit alpha 2(AP2A2)
O94973	ENSG00000183020	Homo sapiens	adaptor related protein complex 2 subunit alpha 2(AP2A2)
O94973	ENSG00000281385	Homo sapiens	adaptor related protein complex 2 subunit alpha 2(AP2A2)
Q96C01	ENSG00000035141	Homo sapiens	family with sequence similarity 136 member A(FAM136A)
P20073	ENSG00000138279	Homo sapiens	annexin A7(ANXA7)
P19086	ENSG00000128266	Homo sapiens	G protein subunit alpha z(GNAZ)
Q9BVS4	ENSG00000058729	Homo sapiens	RIO kinase 2(RIOK2)
Q96C03	ENSG00000284495	Homo sapiens	mitochondrial elongation factor 2(MIEF2)
Q96C03	ENSG00000177427	Homo sapiens	mitochondrial elongation factor 2(MIEF2)
Q9NYT0	ENSG00000100558	Homo sapiens	pleckstrin 2(PLEK2)
Q9NZ52	ENSG00000125447	Homo sapiens	golgi associated, gamma adaptin ear containing, ARF binding protein 3(GGA3)
Q9NZ53	ENSG00000114631	Homo sapiens	podocalyxin like 2(PODXL2)
Q9NZ56	ENSG00000155816	Homo sapiens	formin 2(FMN2)
O94979	ENSG00000138674	Homo sapiens	SEC31 homolog A, COPII coat complex component(SEC31A)
P21399	ENSG00000122729	Homo sapiens	aconitase 1(ACO1)
Q9NYL9	ENSG00000138594	Homo sapiens	tropomodulin 3(TMOD3)
P10636	ENSG00000277956	Homo sapiens	microtubule associated protein tau(MAPT)
P10636	ENSG00000276155	Homo sapiens	microtubule associated protein tau(MAPT)
P10636	ENSG00000186868	Homo sapiens	microtubule associated protein tau(MAPT)
Q5SNV9	ENSG00000215910	Homo sapiens	chromosome 1 open reading frame 167(C1orf167)
Q06787	ENSG00000102081	Homo sapiens	fragile X messenger ribonucleoprotein 1(FMR1)
P63172	ENSG00000146425	Homo sapiens	dynein light chain Tctex-type 1(DYNLT1)
P63167	ENSG00000088986	Homo sapiens	dynein light chain LC8-type 1(DYNLL1)
P47914	ENSG00000162244	Homo sapiens	ribosomal protein L29(RPL29)
Q92692	ENSG00000130202	Homo sapiens	nectin cell adhesion molecule 2(NECTIN2)
P63165	ENSG00000116030	Homo sapiens	small ubiquitin like modifier 1(SUMO1)
Q92696	ENSG00000285193	Homo sapiens	Rab geranylgeranyltransferase subunit alpha(RABGGTA)
Q92696	ENSG00000100949	Homo sapiens	Rab geranylgeranyltransferase subunit alpha(RABGGTA)
P09651	ENSG00000135486	Homo sapiens	heterogeneous nuclear ribonucleoprotein A1(HNRNPA1)
Q9BVI4	ENSG00000184967	Homo sapiens	nucleolar complex associated 4 homolog(NOC4L)
Q9BVI4	ENSG00000288146	Homo sapiens	nucleolar complex associated 4 homolog(NOC4L)
Q9NYM9	ENSG00000177951	Homo sapiens	Bet1 golgi vesicular membrane trafficking protein like(BET1L)
P60903	ENSG00000197747	Homo sapiens	S100 calcium binding protein A10(S100A10)
Q13885	ENSG00000137267	Homo sapiens	tubulin beta 2A class IIa(TUBB2A)
Q13884	ENSG00000172164	Homo sapiens	syntrophin beta 1(SNTB1)
O94992	ENSG00000186834	Homo sapiens	HEXIM P-TEFb complex subunit 1(HEXIM1)
Q13889	ENSG00000111358	Homo sapiens	general transcription factor IIH subunit 3(GTF2H3)
Q9H5V9	ENSG00000018610	Homo sapiens	STING1 ER exit protein 1(STEEP1)
Q13888	ENSG00000145736	Homo sapiens	general transcription factor IIH subunit 2(GTF2H2)
Q13888	ENSG00000276910	Homo sapiens	general transcription factor IIH subunit 2(GTF2H2)
Q13888	ENSG00000275045	Homo sapiens	general transcription factor IIH subunit 2(GTF2H2)
Q86YN1	ENSG00000167130	Homo sapiens	dolichyldiphosphatase 1(DOLPP1)
P10644	ENSG00000108946	Homo sapiens	protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)
Q9H5V7	ENSG00000095574	Homo sapiens	IKAROS family zinc finger 5(IKZF5)
P22626	ENSG00000122566	Homo sapiens	heterogeneous nuclear ribonucleoprotein A2/B1(HNRNPA2B1)
P63173	ENSG00000172809	Homo sapiens	ribosomal protein L38(RPL38)
Q92686	ENSG00000154146	Homo sapiens	neurogranin(NRGN)
P09661	ENSG00000131876	Homo sapiens	small nuclear ribonucleoprotein polypeptide A'(SNRPA1)
Q92685	ENSG00000214160	Homo sapiens	ALG3 alpha-1,3- mannosyltransferase(ALG3)
P60900	ENSG00000100902	Homo sapiens	proteasome 20S subunit alpha 6(PSMA6)
Q96BD8	ENSG00000262634	Homo sapiens	spindle and kinetochore associated complex subunit 1(SKA1)
Q96BD8	ENSG00000154839	Homo sapiens	spindle and kinetochore associated complex subunit 1(SKA1)
Q92688	ENSG00000136938	Homo sapiens	acidic nuclear phosphoprotein 32 family member B(ANP32B)
P35914	ENSG00000117305	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA lyase(HMGCL)
Q13895	ENSG00000112578	Homo sapiens	bystin like(BYSL)
P10619	ENSG00000064601	Homo sapiens	cathepsin A(CTSA)
O75886	ENSG00000115145	Homo sapiens	signal transducing adaptor molecule 2(STAM2)
P11940	ENSG00000070756	Homo sapiens	poly(A) binding protein cytoplasmic 1(PABPC1)
O75884	ENSG00000089050	Homo sapiens	RB binding protein 9, serine hydrolase(RBBP9)
O75881	ENSG00000172817	Homo sapiens	cytochrome P450 family 7 subfamily B member 1(CYP7B1)
O75882	ENSG00000088812	Homo sapiens	attractin(ATRN)
O75880	ENSG00000133028	Homo sapiens	synthesis of cytochrome C oxidase 1(SCO1)
Q9BVG4	ENSG00000102390	Homo sapiens	polysaccharide biosynthesis domain containing 1(PBDC1)
Q86YM7	ENSG00000152413	Homo sapiens	homer scaffold protein 1(HOMER1)
Q9NZ01	ENSG00000099797	Homo sapiens	trans-2,3-enoyl-CoA reductase(TECR)
Q9BVG9	ENSG00000174915	Homo sapiens	phosphatidylserine synthase 2(PTDSS2)
Q9BVG9	ENSG00000282367	Homo sapiens	phosphatidylserine synthase 2(PTDSS2)
P23921	ENSG00000167325	Homo sapiens	ribonucleotide reductase catalytic subunit M1(RRM1)
Q9NZ08	ENSG00000164307	Homo sapiens	endoplasmic reticulum aminopeptidase 1(ERAP1)
Q9NZ09	ENSG00000165006	Homo sapiens	ubiquitin associated protein 1(UBAP1)
O75879	ENSG00000059691	Homo sapiens	glutamyl-tRNA amidotransferase subunit B(GATB)
P35908	ENSG00000172867	Homo sapiens	keratin 2(KRT2)
Q0VDF9	ENSG00000187522	Homo sapiens	heat shock protein family A (Hsp70) member 14(HSPA14)
O75874	ENSG00000138413	Homo sapiens	isocitrate dehydrogenase (NADP(+)) 1(IDH1)
P10620	ENSG00000008394	Homo sapiens	microsomal glutathione S-transferase 1(MGST1)
Q3B7T1	ENSG00000107938	Homo sapiens	erythroid differentiation regulatory factor 1(EDRF1)
Q86YL5	ENSG00000180190	Homo sapiens	testis development related protein(TDRP)
Q92665	ENSG00000102738	Homo sapiens	mitochondrial ribosomal protein S31(MRPS31)
Q9NYP7	ENSG00000012660	Homo sapiens	ELOVL fatty acid elongase 5(ELOVL5)
Q9NYP9	ENSG00000159055	Homo sapiens	MIS18 kinetochore protein A(MIS18A)
Q92667	ENSG00000121057	Homo sapiens	A-kinase anchoring protein 1(AKAP1)
Q0VDG4	ENSG00000144306	Homo sapiens	secernin 3(SCRN3)
P33316	ENSG00000128951	Homo sapiens	deoxyuridine triphosphatase(DUT)
Q9NYH9	ENSG00000108651	Homo sapiens	UTP6 small subunit processome component(UTP6)
O75865	ENSG00000007255	Homo sapiens	trafficking protein particle complex subunit 6A(TRAPPC6A)
O75864	ENSG00000104866	Homo sapiens	protein phosphatase 1 regulatory subunit 37(PPP1R37)
Q96BJ3	ENSG00000186063	Homo sapiens	axin interactor, dorsalization associated(AIDA)
Q86YS7	ENSG00000111731	Homo sapiens	C2 calcium dependent domain containing 5(C2CD5)
Q86YS6	ENSG00000172780	Homo sapiens	RAB43, member RAS oncogene family(RAB43)
P51148	ENSG00000108774	Homo sapiens	RAB5C, member RAS oncogene family(RAB5C)
P51149	ENSG00000075785	Homo sapiens	RAB7A, member RAS oncogene family(RAB7A)
Q6ZMG9	ENSG00000172292	Homo sapiens	ceramide synthase 6(CERS6)
Q96SK2	ENSG00000146842	Homo sapiens	transmembrane protein 209(TMEM209)
Q9BVM2	ENSG00000166171	Homo sapiens	deleted in primary ciliary dyskinesia homolog (mouse)(DPCD)
Q8WYQ5	ENSG00000128191	Homo sapiens	DGCR8 microprocessor complex subunit(DGCR8)
Q8WYQ3	ENSG00000250479	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 10(CHCHD10)
Q8WYQ3	ENSG00000273607	Homo sapiens	coiled-coil-helix-coiled-coil-helix domain containing 10(CHCHD10)
P51157	ENSG00000157869	Homo sapiens	RAB28, member RAS oncogene family(RAB28)
P22670	ENSG00000132005	Homo sapiens	regulatory factor X1(RFX1)
P22670	ENSG00000288283	Homo sapiens	regulatory factor X1(RFX1)
P51151	ENSG00000123595	Homo sapiens	RAB9A, member RAS oncogene family(RAB9A)
Q6ZMI0	ENSG00000162869	Homo sapiens	protein phosphatase 1 regulatory subunit 21(PPP1R21)
P51153	ENSG00000143545	Homo sapiens	RAB13, member RAS oncogene family(RAB13)
P19021	ENSG00000145730	Homo sapiens	peptidylglycine alpha-amidating monooxygenase(PAM)
P19022	ENSG00000170558	Homo sapiens	cadherin 2(CDH2)
Q86YR5	ENSG00000160360	Homo sapiens	G protein signaling modulator 1(GPSM1)
Q96BI3	ENSG00000117362	Homo sapiens	aph-1 homolog A, gamma-secretase subunit(APH1A)
P51159	ENSG00000069974	Homo sapiens	RAB27A, member RAS oncogene family(RAB27A)
Q8WYP5	ENSG00000153207	Homo sapiens	AT-hook containing transcription factor 1(AHCTF1)
Q9BVL2	ENSG00000139496	Homo sapiens	nucleoporin 58(NUP58)
Q9NYJ1	ENSG00000181924	Homo sapiens	cytochrome c oxidase assembly factor 4 homolog(COA4)
Q9BVL4	ENSG00000073169	Homo sapiens	selenoprotein O(SELENOO)
P21333	ENSG00000196924	Homo sapiens	filamin A(FLNA)
Q96SI9	ENSG00000165209	Homo sapiens	spermatid perinuclear RNA binding protein(STRBP)
P09669	ENSG00000164919	Homo sapiens	cytochrome c oxidase subunit 6C(COX6C)
O75844	ENSG00000084073	Homo sapiens	zinc metallopeptidase STE24(ZMPSTE24)
